IKS_2023,IKE_2023,IKL_2023,STATUS_ENCODED
0.84,0.75,0.6667,3
0.6629,0.7167,0.8,3
0.6971,0.6167,0.8,2
0.72,0.7,0.6667,2
0.7371,0.6167,0.6667,2
0.7429,0.5,0.8,2
0.6857,0.6167,0.8,2
0.8057,0.7167,0.7333,3
0.7714,0.6167,0.8667,3
0.6571,0.4167,0.9333,2
0.8114,0.7167,0.8667,3
0.8057,0.6167,0.6667,2
0.8629,0.8333,0.8667,4
0.8971,0.7167,0.6667,3
0.9143,0.8333,1.0,4
0.8457,0.5333,1.0,3
0.8171,0.7,0.6,2
0.8571,0.65,0.6667,3
0.8171,0.6167,0.6667,2
0.7943,0.6333,0.8667,3
0.8,0.6333,0.6667,2
0.6571,0.8333,0.6,2
0.7657,0.55,0.8667,3
0.7829,0.6,0.6667,2
0.7657,0.5333,0.6667,2
0.9143,0.6667,0.6,3
0.7371,0.75,0.6,2
0.8057,0.8167,0.8667,4
0.7486,0.7,0.6667,2
0.7943,0.4833,0.6667,2
0.7886,0.5833,0.6667,2
0.7257,0.6167,0.6667,2
0.7257,0.4167,0.6667,2
0.7543,0.5333,0.6667,2
0.9371,0.6667,0.6667,3
0.7714,0.6,0.6667,2
0.72,0.4167,0.6667,2
0.7886,0.6,0.6667,2
0.7714,0.3833,0.6667,2
0.7029,0.4667,0.6667,2
0.7257,0.5167,0.6667,2
0.7257,0.45,0.6667,2
0.7657,0.65,0.6667,2
0.7943,0.55,0.6,2
0.8286,0.8833,0.8,4
0.8,0.6,0.6667,2
0.7486,0.55,0.6667,2
0.6857,0.6333,0.6667,2
0.6914,0.65,0.6,2
0.7543,0.5667,0.6667,2
0.76,0.5667,0.6,2
0.7429,0.5667,0.6667,2
0.7086,0.5167,0.6667,2
0.7257,0.4833,0.8,2
0.7086,0.5667,0.6,2
0.7429,0.5167,0.6667,2
0.7829,0.5833,0.5333,2
0.7029,0.4,0.8667,2
0.7314,0.5167,0.6667,2
0.7371,0.4833,0.6667,2
0.84,0.6333,0.6,2
0.7543,0.6,0.6,2
0.7371,0.6167,0.6667,2
0.7371,0.6167,0.6,2
0.7543,0.5167,0.8,2
0.8114,0.6167,0.5333,2
0.6571,0.45,0.5333,1
0.6686,0.4667,0.6667,2
0.8171,0.5833,0.7333,3
